Sample in Buffer,Sample in Window,TRIGGER,w_accum_data[47:0],w_rom_data[15:0],o_led_OBUF[9:9],w_count[9:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX
510,510,0,0011eaf670fe,2c19,0,241
511,511,0,0011eaf623b9,ee77,0,242
512,512,1,0011eaf64fd2,31c4,0,243
513,513,0,0011eaf63e49,c1bc,0,244
514,514,0,0011eaf6700d,827f,0,245
515,515,0,0011eaf631c9,0843,0,246
516,516,0,0011eaf5b448,c786,0,247
517,517,0,0011eaf5bc8b,723c,0,248
518,518,0,0011eaf58411,680c,0,249
519,519,0,0011eaf5f64d,e486,0,24a
520,520,0,0011eaf65e59,865c,0,24b
521,521,0,0011eaf642df,2be3,0,24c
522,522,0,0011eaf5c93b,5650,0,24d
523,523,0,0011eaf5f51e,78b4,0,24e
524,524,0,0011eaf64b6e,8e93,0,24f
525,525,0,0011eaf6c422,f348,0,250
526,526,0,0011eaf652b5,151c,0,251
527,527,0,0011eaf645fd,2fc7,0,252
528,528,0,0011eaf65b19,382c,0,253
529,529,0,0011eaf68ae0,2669,0,254
530,530,0,0011eaf6c30c,3a17,0,255
531,531,0,0011eaf6e975,dfb4,0,256
532,532,0,0011eaf7238c,14e2,0,257
533,533,0,0011eaf70340,9db9,0,258
534,534,0,0011eaf71822,8ec2,0,259
535,535,0,0011eaf6b5db,7ad1,0,25a
536,536,0,0011eaf6449d,c8ea,0,25b
537,537,0,0011eaf6bf6e,1850,0,25c
538,538,0,0011eaf68858,7650,0,25d
539,539,0,0011eaf6a0a8,af8f,0,25e
540,540,0,0011eaf716f8,b16b,0,25f
541,541,0,0011eaf6c687,d775,0,260
542,542,0,0011eaf677f2,6ed2,0,261
543,543,0,0011eaf64f67,e402,0,262
544,544,0,0011eaf6be39,c5f1,0,263
545,545,0,0011eaf6a23b,a6e6,0,264
546,546,0,0011eaf6682c,e5a8,0,265
547,547,0,0011eaf60f12,dfed,0,266
548,548,0,0011eaf5f4ba,a190,0,267
549,549,0,0011eaf5d4a7,ef5e,0,268
550,550,0,0011eaf57637,976d,0,269
551,551,0,0011eaf56595,1d58,0,26a
552,552,0,0011eaf4fd02,82cf,0,26b
553,553,0,0011eaf51a5a,12c1,0,26c
554,554,0,0011eaf49d29,4a2b,0,26d
555,555,0,0011eaf4afea,bc40,0,26e
556,556,0,0011eaf4fa15,f2b1,0,26f
